ltl,en
F ( green room & ~  landmark two ),"go to a spot in the green room , but do n't touch landmark two ."
F ( purple room & F ( third floor ) ),go through the purple room before going to the third floor .
F ( purple room & ~  blue room ),go to the purple room while always avoiding the blue room
~   ( green room ) U ( orange room ),avoid the green room until after you 've gone to the orange room .
~   ( landmark one ) U ( orange room ),go to or through the orange room always avoid going to the orange room through landmark one
~   ( red room ) U ( landmark two ),avoid the red room until you go to landmark two .
F ( blue room & F ( third floor ) ),"move to the third floor , travelling through the blue room ."
~   ( landmark one ) U ( blue room ),avoid landmark one until after the blue room
~   ( orange room ) U ( yellow room ),avoid the orange room until you go through the yellow room .
F ( purple room & F ( orange room ) ),go to the orange room through the purple room
F ( landmark one ) & G ( third floor ),stay on the third floor and navigate to landmark one .
~   ( purple room ) U ( blue room ),go to the blue room avoiding the purple room . only if you reached the blue room then you may proceed to the purple room .
F ( landmark three & F ( landmark two ) ),"go to landmark three , then go to landmark two"
F ( yellow room & F ( third floor ) ),navigate to the third floor via the yellow room .
F ( purple room & F ( third floor ) ),"move to the third floor , travelling through the purple room ."
F ( first floor & ~  orange room ),avoid the orange room and go to the first floor .
~   ( green room ) U ( blue room ),"go to the blue room without going to the green room . if you reached the blue room , now you can go to the green room ."
F ( purple room & F ( landmark three ) ),first go to the purple room and then go to landmark three .
F ( yellow room & ~  landmark three ),go to the yellow room without going to landmark three .
F ( landmark one & F ( blue room ) ),go to the blue room via landmark one .
F ( landmark one & ~  green room ),go to landmark one while always avoiding the green room
F ( landmark two ) & G ( green room ),go directly to landmark two and do not leave the green room .
~   ( landmark two ) U ( yellow room ),avoid going through landmark two until you go through the yellow room .
F ( landmark one & ~  green room ),always avoid the green room to navigate to landmark one .
F ( second floor & F ( landmark three ) ),go to onest floor . then go directly to landmark three
~   ( landmark one ) U ( yellow room ),go to the yellow room by avoiding landmark one and then stay in the yellow room or continue to landmark one
F ( landmark two & F ( blue room ) ),first go to to landmark two then go to the blue room .
~   ( yellow room ) U ( first floor ),"go to the second floor avoiding the yellow room . if you reached the first floor you can stay there , or head to the yellow room ."
F ( purple room & F ( second floor ) ),go through the purple room to the second floor .
F ( landmark three ) & G ( green room ),go directly to landmark three by only moving in the green room .
F ( purple room & F ( red room ) ),go to the red room through the purple room .
~   ( red room ) U ( landmark one ),always avoid going to landmark one through the red room
F ( yellow room ) & G ( third floor ),go to the yellow room without ever leaving the third floor .
~   ( red room ) U ( landmark one ),avoid the red room until reaching landmark one .
F ( landmark two & ~  red room ),avoid the red room and go to landmark two .
~   ( green room ) U ( orange room ),avoid the green room on your way to the orange room . once you get to the orange room you can to the green room .
F ( red room & F ( green room ) ),go to the green room through the red room .
F ( landmark two ),go to landmark two .
F ( landmark one & F ( green room ) ),go to landmark one then go to the green room .
F ( first floor & F ( blue room ) ),"go to the first floor , then go to the blue room ."
F ( second floor & F ( blue room ) ),go through the second floor to the blue room .
F ( landmark two ) & G ( blue room ),go to landmark two by only navigating within the blue room .
F ( red room & F ( orange room ) ),go from the red room to the orange room
F ( first floor & F ( blue room ) ),move to the blue room but ensure to go to the second floor first .
F ( blue room & F ( red room ) ),go to the blue room and then navigate to the red room .
F ( landmark two & F ( orange room ) ),go to landmark two and then go to the orange room .
~   ( purple room ) U ( red room ),avoid the purple room until you go through the red room .
F ( first floor & ~  blue room ),always avoid the blue room while navigating to the first floor .
~   ( red room ) U ( second floor ),avoid the red room until you navigate to the second floor .
F ( red room & ~  landmark one ),"go to the red room , avoiding landmark one ."
F ( green room & ~  yellow room ),"avoid the yellow room , navigate to the green room ."
~   ( orange room ) U ( landmark three ),go to landmark three avoiding the orange room . then go to the orange room or stay on landmark three .
F ( blue room & F ( orange room ) ),travel through the blue room then go to the orange room .
~   ( purple room ) U ( second floor ),avoid the purple room until after going to the second floor .
F ( blue room & F ( red room ) ),move to the blue room then continue to the red room .
F ( landmark two & F ( orange room ) ),go through landmark two to the orange room .
F ( red room & ~  landmark two ),"go to a spot in the red room , but do n't touch landmark two ."
~   ( purple room ) U ( blue room ),avoid the purple room until you go to the blue room .
~   ( purple room ) U ( landmark three ),go to landmark three by avoiding the purple room and then stay there or continue to the purple room .
F ( orange room & F ( purple room ) ),travel through the orange room then go to the purple room .
F ( red room & F ( landmark three ) ),go to the red room before you go to landmark three .
~   ( orange room ) U ( first floor ),avoid the orange room until you navigate to the first floor .
F ( third floor & F ( landmark two ) ),go to landmark two via the third floor .
F ( red room & F ( second floor ) ),always navigate to red room and then proceed to second floor .
F ( third floor & ~  orange room ),go to the third floor without going to the orange room .
~   ( blue room ) U ( third floor ),go to the third floor . if you reached the third floor then you may go to the blue room .
F ( second floor & F ( yellow room ) ),head to the yellow room but first go to the second floor .
F ( second floor & ~  green room ),go to the second floor but never go to the green room .
F ( blue room ) & G ( third floor ),stay on the third floor while going to the blue room .
F ( first floor & ~  landmark two ),avoid the landmark two and go to the first floor .
F ( yellow room & F ( landmark two ) ),go to landmark two through the yellow room
~   ( orange room ) U ( third floor ),go to or through the second floor always avoid going through the orange room
F ( blue room & F ( yellow room ) ),navigate to the yellow room through the blue room .
F ( landmark three ) & G ( second floor ),go to landmark three while staying on the second floor .
F ( landmark three & F ( third floor ) ),go to the third floor through landmark three .
F ( landmark one & F ( green room ) ),go through landmark one before going to the green room .
F ( landmark three & F ( landmark two ) ),navigate through landmark three then go to landmark two .
F ( second floor & F ( purple room ) ),go to the second floor and then go to the purple room .
F ( orange room & ~  blue room ),"go to orange room , but do not go to blue room ."
F ( landmark one ) & G ( third floor ),go to landmark one but remain on the third floor .
~   ( green room ) U ( third floor ),"go to the third floor without going through the green room . if you reached the third floor then you can go to the green room , or be done ."
F ( yellow room & F ( red room ) ),go from the yellow room to the red room
~   ( blue room ) U ( landmark one ),avoid the blue room on your way to landmark one .
F ( blue room & F ( yellow room ) ),go to the yellow room through the blue room .
~   ( yellow room ) U ( purple room ),go to the purple room and if you have reached the purple room you may proceed to the yellow room or stay in the purple room .
F ( first floor & ~  landmark one ),go to the first floor but avoid landmark one .
F ( landmark two & F ( red room ) ),go to the red room through landmark two
F ( orange room & F ( green room ) ),go to the green room through the orange room
~   ( landmark three ) U ( landmark two ),"avoid landmark three while traveling to landmark two. once there , you may travel to landmark three ."
F ( landmark two ) & G ( green room ),"without stepping outside of the green room , go to landmark two ."
~   ( yellow room ) U ( purple room ),avoid the yellow room until navigating to the purple room .
F ( landmark one ) & G ( first floor ),go to landmark one but remain on the first floor .
~   ( green room ) U ( landmark three ),go to landmark three but do not first go through the green room .
F ( third floor & ~  purple room ),go to the third floor but never go to the purple room .
~   ( landmark three ) U ( yellow room ),move to the yellow room avoiding landmark three. if you got to the yellow room then you can continue to landmark three .
F ( yellow room & F ( second floor ) ),go to the second floor via the yellow room .
F ( purple room & F ( red room ) ),travel through the purple room then go to the red room .
F ( orange room & ~  yellow room ),go to the orange room while always avoiding the yellow room
F ( blue room ) & G ( first floor ),proceed to the blue room without going to first floor .
F ( landmark two ) & G ( orange room ),stay in the orange room and go to landmark two
F ( yellow room ) & G ( first floor ),proceed to the yellow room without going to first floor .
~   ( purple room ) U ( first floor ),avoid the purple room until after going to the first floor .
F ( orange room & ~  landmark three ),"go to a spot in the orange room , but do n't touch landmark three ."
F ( landmark three & F ( blue room ) ),"first go to landmark three , then go to the blue room ."
F ( landmark two & ~  orange room ),go to landmark two while always avoiding the orange room
F ( red room ) & G ( first floor ),remain on the first floor while going to the red room .
F ( second floor & ~  yellow room ),avoid the yellow room
F ( yellow room ) & G ( first floor ),remain on the first floor and navigate to the yellow room .
F ( yellow room & ~  landmark two ),go to the yellow room and avoid landmark two .
F ( first floor & ~  landmark three ),navigate to the first floor but do n't ever go to landmark three .
F ( blue room ) & G ( third floor ),remain on the onest floor and go directly to the blue room .
F ( landmark three & F ( green room ) ),go to the green room by first going through landmark three .
F ( yellow room & F ( orange room ) ),go to yellow room and then to orange room
F ( blue room & F ( green room ) ),go to the green room by touching the blue room .
F ( yellow room & F ( landmark two ) ),"go to the yellow room , then proceed to landmark two ."
F ( yellow room & F ( green room ) ),go to the green room through the yellow room
F ( red room & F ( green room ) ),go from the red room to the green room
~   ( purple room ) U ( landmark one ),do not go into the purple room until going to landmark one
F ( first floor & F ( orange room ) ),go from second floor to orange room .
F ( orange room ) & G ( second floor ),move to the orange room without leaving the second floor .
F ( orange room & F ( yellow room ) ),travel through the orange room then go to the yellow room .
F ( landmark one & F ( yellow room ) ),go to the yellow room through landmark one .
F ( first floor & F ( yellow room ) ),go to the first floor then move to the yellow room .
~   ( red room ) U ( landmark three ),do not go into the red room until going to landmark three
~   ( purple room ) U ( red room ),go to or through the red room always avoid going to the red room through the purple room
F ( landmark one & ~  yellow room ),stay away from the yellow room and go to landmark one .
F ( landmark three ) & G ( first floor ),head to landmark three without going to first floor .
F ( green room ) & G ( third floor ),remain on the onest floor and go directly to the green room .
F ( purple room & F ( red room ) ),navigate to the red room through the purple room .
~   ( yellow room ) U ( orange room ),avoid the yellow room until you go through the orange room .
F ( landmark one & F ( green room ) ),first move to landmark one then navigate to the green room .
F ( first floor & ~  yellow room ),always avoid the yellow room while navigating to the first floor .
F ( blue room & F ( second floor ) ),pass through the blue room before going to the second floor .
F ( yellow room & F ( landmark two ) ),always go through the yellow room and then to landmark two .
F ( landmark three & F ( second floor ) ),go to the second floor via landmark three .
F ( yellow room & ~  red room ),"avoid the red room , navigate to the yellow room ."
F ( landmark one & F ( red room ) ),go through landmark one before going to the red room .
F ( yellow room & F ( landmark one ) ),go through the yellow room before navigating to landmark one .
~   ( green room ) U ( first floor ),avoid the green room until you navigate to the first floor .
F ( first floor & F ( red room ) ),head to the red room but first go to the first floor .
F ( yellow room & F ( purple room ) ),"go through the yellow room first , then go to the purple room ."
F ( landmark two & ~  purple room ),avoid the purple room and go to landmark two
F ( third floor & ~  landmark three ),go to the threerd floor but do not go to landmark three .
F ( landmark three ) & G ( second floor ),stay on the second floor while navigating to landmark three .
~   ( orange room ) U ( landmark three ),do n't go into the orange room until going to landmark three
F ( landmark two ) & G ( red room ),do directly to landmark two without leaving the red room .
~   ( red room ) U ( landmark two ),avoid the red room until you navigate to landmark two .
~   ( purple room ) U ( first floor ),avoid the purple room before you navigate to the first floor .
~   ( green room ) U ( third floor ),avoid the green room until going to the third floor .
F ( orange room & F ( landmark two ) ),"move to landmark two , but go through the orange room first ."
F ( red room & F ( landmark two ) ),"move to landmark two , but go through the red room first ."
F ( blue room & F ( purple room ) ),go to blue room and then to purple room
F ( landmark three ) & G ( red room ),without leaving the red room go to landmark three .
F ( purple room & F ( yellow room ) ),"head to the yellow room , but make sure to go through the purple room first ."
F ( purple room & F ( landmark two ) ),always go through the purple room before going to landmark two .
F ( red room & F ( first floor ) ),navigate to the first floor via the red room .
F ( purple room & F ( orange room ) ),go to purple room and then to orange room
F ( orange room & F ( first floor ) ),go to the first floor by first going through the orange room .
F ( third floor & F ( second floor ) ),visit the third floor and then proceed to the second floor .
F ( landmark three ) & G ( second floor ),visit landmark three but do n't leave the second floor .
F ( yellow room & F ( red room ) ),go to yellow room and then to red room
F ( landmark three & ~  yellow room ),go to landmark three while always avoiding the yellow room
~   ( red room ) U ( third floor ),go to or through the second floor always avoid going through the red room
F ( blue room & F ( green room ) ),navigate to the green room through the blue room .
F ( landmark two ) & G ( first floor ),move to landmark two without leaving the first floor .
F ( first floor & F ( red room ) ),go through the first floor to the red room .
F ( landmark one & F ( green room ) ),go to the green room through landmark one .
F ( blue room & F ( orange room ) ),"go to the blue room , then go to the orange room ."
F ( third floor & F ( second floor ) ),go to the third floor then go to the second floor .
~   ( green room ) U ( second floor ),go to the second floor . if you reached the second floor then you may go to the green room .
~   ( landmark two ) U ( yellow room ),go to the yellow room by avoiding landmark two and then stay in the yellow room or continue to landmark two
~   ( red room ) U ( second floor ),go to or through the second floor always avoid going through the red room
~   ( blue room ) U ( landmark two ),go to landmark two but do not first go through the blue room .
F ( landmark three & F ( third floor ) ),go to landmark three then go to the third floor .
F ( landmark three & F ( third floor ) ),"move to the third floor , travelling through landmark three ."
F ( orange room & ~  blue room ),navigate to the orange room always avoiding the blue room .
F ( third floor & F ( landmark one ) ),go to landmark one through the onest floor
F ( orange room & ~  blue room ),go to the orange room without going to the blue room .
F ( red room & F ( purple room ) ),move to the red room and then the purple room .
F ( first floor & F ( landmark one ) ),go from the first floor to landmark one .
~   ( landmark three ) U ( green room ),go to the green room by avoiding landmark three and then stay in the green room or continue to landmark three
F ( landmark one & F ( purple room ) ),go through landmark one and navigate to the purple room .
F ( landmark two & F ( yellow room ) ),navigate to landmark two then continue to the yellow room .
F ( orange room & F ( red room ) ),"go to the orange room , then go to the red room ."
F ( red room & F ( second floor ) ),go through the red room to the second floor .
F ( third floor & F ( red room ) ),go from the second floor to the red room
~   ( red room ) U ( second floor ),go to or through the second floor while avoiding going through the red room
~   ( green room ) U ( landmark three ),do not go into the green room until going to landmark three
F ( landmark one & F ( green room ) ),always go to landmark one before navigating to the green room .
~   ( blue room ) U ( third floor ),"go to the second floor avoiding the blue room . if you reached the third floor you can stay there , or head to the blue room ."
~   ( landmark one ) U ( landmark two ),avoid landmark one until after you go to landmark two .
~   ( landmark one ) U ( orange room ),avoid landmark one until going to the orange room .
~   ( landmark two ) U ( green room ),go to the green room avoiding landmark two. if you reached the green room then you may go to landmark two .
F ( landmark one ) & G ( green room ),go to landmark one by only navigating within the green room .
~   ( purple room ) U ( third floor ),avoid the purple room until going to the third floor .
~   ( landmark one ) U ( green room ),avoid landmark one until going to the green room .
F ( landmark two ) & G ( second floor ),go to landmark two without going to second floor .
~   ( landmark one ) U ( purple room ),avoid landmark one until after the purple room
~   ( purple room ) U ( second floor ),go to or through the second floor always avoid going through the purple room
F ( landmark three & ~  blue room ),advance to landmark three but always avoid the blue room .
~   ( purple room ) U ( yellow room ),avoid the purple room until you enter the yellow room .
F ( red room & ~  green room ),go to the red room and avoid the green room .
F ( third floor & ~  landmark three ),"navigate to the third floor , avoiding landmark three ."
~   ( purple room ) U ( green room ),avoid the purple room until navigating to the green room .
F ( purple room & F ( orange room ) ),go from the purple room to the orange room
~   ( landmark two ) U ( blue room ),go to the blue room avoiding landmark two. if you reached the blue room then you may go to landmark two .
~   ( landmark two ) U ( purple room ),go to the purple room avoiding landmark two. if you reached the purple room then you may go to landmark two .
F ( third floor & ~  green room ),go to the third floor without going to the green room .
F ( blue room & F ( landmark one ) ),head to landmark one after going to the blue room .
F ( purple room & F ( yellow room ) ),always go through the purple room to get to the yellow room .
~   ( landmark three ) U ( blue room ),avoid landmark three until after the blue room
F ( green room & F ( landmark one ) ),"move to landmark one , but go through the green room first ."
~   ( red room ) U ( landmark three ),avoid the red room until reaching landmark three .
~   ( orange room ) U ( first floor ),go to or through the second floor always avoid going through the orange room
F ( landmark one ) & G ( red room ),do n't leave the red room and go to landmark one .
F ( green room & F ( first floor ) ),pass through the green room on your way to the first floor .
F ( yellow room & ~  landmark one ),go to the yellow room without touching landmark one .
F ( red room & ~  green room ),go to the red room without going to the green room
F ( red room ) & G ( first floor ),stay on the first floor and go to the red room .
F ( yellow room & ~  landmark one ),go to the yellow room without going to landmark one .
F ( orange room & F ( yellow room ) ),"head to the yellow room , but make sure to go through the orange room first ."
F ( blue room ) & G ( third floor ),go to the blue room only through the onest floor
F ( landmark two ) & G ( red room ),go to landmark two by only navigating within the red room .
~   ( orange room ) U ( purple room ),go to the purple room without going through the orange room .
F ( third floor ),go to the third floor
F ( red room & ~  landmark three ),go to the red room without touching landmark three .
F ( third floor & ~  yellow room ),go to the second floor but avoid the yellow room .
F ( third floor & ~  landmark two ),go to the third floor avoiding landmark two .
F ( third floor & ~  landmark one ),avoid the landmark one and go to the third floor .
F ( blue room & F ( first floor ) ),move towards blue room and then to first floor .
F ( second floor & ~  landmark two ),avoid the landmark two and go to the second floor .
F ( landmark one ) & G ( purple room ),stay in the purple room and go to landmark one .
F ( red room & ~  orange room ),avoid the orange room and go to the red room .
F ( landmark two ) & G ( blue room ),go directly to landmark two by only moving in the blue room .
F ( yellow room & ~  landmark one ),always avoid landmark one and navigate to the yellow room .
~   ( blue room ) U ( landmark one ),do n't go into the blue room until going to landmark one
F ( landmark three & ~  landmark one ),go to landmark three and avoid the green room
F ( second floor & F ( purple room ) ),go to the purple room through the second floor
F ( landmark two & F ( third floor ) ),go to landmark two and then go to the third floor .
F ( landmark three ) & G ( second floor ),go to landmark three without going to second floor .
~   ( purple room ) U ( second floor ),"avoid the purple room and go to the second floor . if you reached the second floor then you may go to the purple room , or just stay on the second floor ."
F ( landmark two & ~  green room ),advance to landmark two but always avoid the green room .
F ( purple room & F ( landmark three ) ),move to the purple room and then move to landmark three .
F ( purple room & F ( landmark one ) ),"move to landmark one , but go through the purple room first ."
F ( landmark three & F ( landmark two ) ),go to the landmark three before going to landmark two
~   ( green room ) U ( blue room ),go to the blue room but do not enter the green room first .
~   ( green room ) U ( yellow room ),avoid the green room until you go through the yellow room .
F ( landmark two & ~  orange room ),advance to landmark two but always avoid the orange room .
~   ( red room ) U ( purple room ),avoid the red room until you go to the purple room .
F ( third floor & F ( landmark two ) ),go from onest floor to landmark two .
F ( purple room & F ( yellow room ) ),move to the purple room then continue to the yellow room .
F ( landmark one & F ( second floor ) ),go to the second floor by going through landmark one .
F ( first floor & ~  orange room ),go to the second floor while always avoiding the orange room
~   ( green room ) U ( blue room ),go to the blue room avoiding the green room . only if you reached the blue room then you may proceed to the green room .
F ( landmark two & F ( purple room ) ),go to landmark two before going to the purple room
F ( yellow room & F ( green room ) ),go to the yellow room before going to the green room .
F ( landmark one ) & G ( green room ),stay in the green room to navigate to landmark one .
F ( second floor & F ( green room ) ),go through the second floor and navigate to the green room .
F ( purple room & ~  red room ),avoid the red room and travel to the purple room .
F ( landmark two & ~  purple room ),go to landmark two while always avoiding the purple room .
F ( landmark three & F ( second floor ) ),go to the second floor through landmark three .
F ( landmark one & F ( yellow room ) ),go to landmark one before going to the yellow room .
F ( red room & ~  orange room ),always avoid the orange room and go to the red room .
F ( landmark three & F ( third floor ) ),"go to landmark three , then head to the third floor ."
F ( blue room ) & G ( second floor ),go to the blue room only through the onest floor
F ( landmark one & F ( third floor ) ),go to landmark one before navigating to the third floor .
F ( blue room & F ( yellow room ) ),move to the blue room and then the yellow room .
F ( orange room & F ( green room ) ),go to orange room and then to green room
~   ( purple room ) U ( landmark three ),move to landmark three without entering the purple room . then you may stay at landmark three or go to the purple room .
F ( landmark three & ~  purple room ),go to landmark three and avoid the purple room .
~   ( green room ) U ( orange room ),avoid the green room until after navigating to the orange room .
F ( landmark three & ~  blue room ),"while always avoiding the blue room , go to landmark three ."
F ( first floor & ~  orange room ),go to first floor without going into the orange room
F ( first floor ),go to first floor
~   ( yellow room ) U ( landmark one ),go to landmark one avoiding the yellow room . then go to the yellow room or stay on landmark one .
F ( green room & F ( third floor ) ),visit the green room and then move to the third floor .
F ( purple room & ~  blue room ),navigate to the purple room always avoiding the blue room .
F ( yellow room & ~  landmark three ),"go to the yellow room , avoiding landmark three ."
F ( purple room & F ( yellow room ) ),go to purple room and then to yellow room
F ( landmark two & F ( purple room ) ),always go to landmark two before navigating to the purple room .
F ( green room & ~  landmark one ),avoid landmark one and go to the green room .
F ( landmark one ) & G ( purple room ),stay in the purple room to get to landmark one .
F ( landmark two ) & G ( third floor ),go to landmark two while avoiding the first and third floor .
F ( yellow room & F ( red room ) ),go to the yellow room before going to the red room .
F ( landmark two ) & G ( third floor ),stay on the third floor to get to landmark two .
F ( purple room & F ( yellow room ) ),move to the purple room and then the yellow room .
~   ( blue room ) U ( first floor ),avoid the blue room before you navigate to the first floor .
F ( third floor & ~  yellow room ),move to the third floor without entering the yellow room .
F ( landmark three & F ( landmark two ) ),go to landmark three and then to landmark two .
~   ( red room ) U ( blue room ),go to the blue room avoiding the red room . only if you reached the blue room then you may proceed to the red room .
F ( red room & F ( landmark one ) ),go to the red room and then go to landmark one .
F ( red room ) & G ( second floor ),remain on the second floor while going to the red room .
F ( third floor & F ( landmark two ) ),"move to landmark two , but travel to the onest floor first ."
F ( landmark three & F ( purple room ) ),go to landmark three before going to the purple room
F ( landmark two & ~  yellow room ),go to landmark two and always avoid the yellow room
F ( orange room ) & G ( first floor ),navigate to the orange room staying on the first floor .
F ( orange room ) & G ( first floor ),go to the orange room without going to another floor .
F ( red room & F ( first floor ) ),go through the red room and navigate to the first floor .
F ( orange room & ~  yellow room ),"avoid the yellow room , navigate to the orange room ."
F ( red room & F ( first floor ) ),"move to the first floor , travelling through the red room ."
F ( third floor & F ( second floor ) ),navigate to the second floor through the third floor .
F ( landmark one ),go directly to landmark one .
F ( second floor & F ( landmark one ) ),go to the second floor then go to landmark one .
F ( green room & F ( landmark two ) ),go to landmark two through the green room .
~   ( yellow room ) U ( second floor ),"go to the second floor without going through the yellow room . if you reached the second floor then you can go to the yellow room , or be done ."
F ( orange room & ~  yellow room ),avoid the yellow room and navigate to the orange room .
~   ( blue room ) U ( landmark one ),avoid the blue room until you navigate to landmark one .
F ( first floor & F ( green room ) ),go to the first floor and then go to the green room .
F ( landmark two ) & G ( blue room ),stay in the blue room and go to landmark two .
F ( landmark one & F ( green room ) ),go to landmark one before going to the green room .
~   ( green room ) U ( red room ),go to the red room avoiding the green room . only if you reached the red room then you may proceed to the green room .
F ( red room & F ( second floor ) ),go to the second floor by first going through the red room .
F ( purple room & F ( landmark one ) ),"go through the purple room , then make your way to landmark one ."
F ( third floor & F ( landmark one ) ),navigate to the third floor before going to landmark one .
~   ( purple room ) U ( orange room ),"go to the orange room without going to the purple room . if you reached the orange room , now you can go to the purple room ."
~   ( red room ) U ( purple room ),avoid the red room until after navigating to the purple room .
F ( second floor & F ( landmark two ) ),go to the second floor and then to landmark two .
F ( purple room ),"robot , go to the purple room ."
F ( purple room & F ( landmark two ) ),head to landmark two after going to the purple room .
F ( yellow room & ~  green room ),"go to yellow room , but do not go to green room ."
F ( purple room & F ( third floor ) ),visit the purple room and then move to the third floor .
F ( purple room ) & G ( first floor ),proceed to the purple room but do n't leave the first floor .
F ( red room & F ( third floor ) ),move towards red room and then to third floor .
F ( first floor & F ( landmark two ) ),go to the first floor before you navigate to landmark two .
~   ( red room ) U ( purple room ),avoid the red room until navigating to the purple room .
F ( landmark three & ~  orange room ),always avoid the orange room and go to landmark three .
F ( green room & F ( purple room ) ),go to the green room before going to the purple room .
F ( landmark one & F ( purple room ) ),move to landmark one and then proceed to the purple room .
